id,label_en,label_es,node_type,node_subtype,parent_event,sequence_value,year_start,year_end,mapped,longitude,latitude,country,source_location,target_location,directed_location,source_other,target_other,directed_other,description_en,description_es,panel_html,citation,source,page
sick_workers_1934_002,Sanitary Displacement: Guápiles to Siquirres,Desplazamiento sanitario: De Guápiles a Siquirres,migration,displacement,1934_banana_strike,2,1934,1934,FALSE,,,Costa Rica,malaria_guapiles_1934,siquirres,TRUE,,,,"Cerdas describes workers from Guápiles traveling to Siquirres for treatment. He identifies the facility there as a dispensary staffed by a nurse rather than a doctor, where quinine was the only medicine provided.","Cerdas describe a los trabajadores de Guápiles viajando a Siquirres para recibir tratamiento. Identifica la instalación allí como un dispensario atendido por un enfermero en lugar de un médico, donde la quinina era el único medicamento suministrado.",,,cerdas_1984,87
comisariatos_1934_strike,Commissaries and the Double Exploitation of Workers,Los comisariatos y la doble explotación obrera,event,,1934_banana_strike,3,1934,1934,TRUE,,,Costa Rica,,,,,,,"UFCo and plantation-linked comisariatos formed a system of economic dependency across the Atlantic banana zone. Workers were frequently paid with coupons or tokens redeemable only at plantation commissaries, where goods were sold at inflated prices. According to Jaime Cerdas, this arrangement compounded already poor wages and living conditions, reinforcing what he described as a “double exploitation” of banana workers through both labor and controlled consumption.","Los comisariatos vinculados a la UFCo y a las fincas bananeras formaban un sistema de dependencia económica a lo largo de la zona bananera atlántica. Con frecuencia, los trabajadores eran pagados mediante cupones o chapas que solo podían utilizarse en los comisariatos de las plantaciones, donde los productos se vendían a precios elevados. Según el relato de Jaime Cerdas, este sistema agravaba los bajos salarios y las malas condiciones de vida, produciendo una “doble explotación” de los trabajadores bananeros a través tanto del trabajo como del consumo controlado.",,,cerdas_1984,
demands_strike_1934,Presentation and Rejection of the List of Demands,Presentación y rechazo del pliego de peticiones,information,correspondence,1934_banana_strike,4,1934,1934,FALSE,,,Costa Rica,san_jose,puerto_limon,TRUE,partido_comunista_cr,chittenden,TRUE,"Based on the account by Jaime Cerdas Mora, the Communist Party drafted a formal list of demands (pliego de peticiones) and organized strike committees across the various banana plantations. The document was presented to the manager of the United Fruit Company, George P. Chittenden, who refused to receive it.","Según el relato de Jaime Cerdas Mora, el Partido Comunista redactó un pliego de peticiones formal y organizó comités de huelga en las diversas fincas bananeras. El documento fue presentado al gerente de la United Fruit Company, George P. Chittenden, quien se negó a recibirlo.",,,cerdas_1984,87
worker_meeting_01_1934,Leadership Deployment to 26 Millas,Despliegue de la dirigencia hacia 26 Millas,event,movement,1934_banana_strike,5,1934,1934,FALSE,,,Costa Rica,limon,26_millas,TRUE,,,,"Following the rejection of the workers’ petition by UFCo manager George P. Chittenden. Workers held a meeting around August 7, 1934 and agreed to go on strike. Strike committees had already been organized across multiple plantations, and Carlos Luis Fallas and Jaime Cerdas were tasked with directing the movement. Traveling by train to Madre de Dios and then on foot toward  26 Millas, they established the principal operational headquarters of the strike near the finca Los Ángeles. According to Cerdas’ account, delegations from plantations across the Atlantic banana corridor were already gathering there upon their arrival.","Tras el rechazo del pliego de peticiones de los trabajadores por parte del gerente de la UFCo, George P. Chittenden. Los obreros sostuvieron una reunión cerca del 7 de agosto de 1934, en la que se acordó ir a huelga. Para entonces, ya se habían organizado comités de huelga en múltiples plantaciones, y Carlos Luis Fallas y Jaime Cerdas fueron encargados de dirigir el movimiento. Viajando en tren hasta Madre de Dios y luego a pie hacia 26 Millas, establecieron el principal cuartel operativo de la huelga cerca de la finca Los Ángeles. Según el relato de Cerdas, delegaciones de plantaciones a lo largo del corredor bananero atlántico ya se estaban reuniendo allí al momento de su llegada.",,,cerdas_1984,87
declaration_strike_1934,Declaration of Strike,Declaración de la huelga,information,correspondence,1934_banana_strike,6,1934,1934,TRUE,,,Costa Rica,26_millas,puerto_limon,,,,,"On August 9, 1934, strike leaders formally declared the beginning of the banana strike. The declaration marked the transition from localized labor grievances to a coordinated regional movement across the Atlantic banana zone.","El 9 de agosto de 1934, los dirigentes huelguistas declararon formalmente el inicio de la huelga bananera. La declaración marcó la transición de reclamos laborales localizados hacia un movimiento coordinado a escala regional en la zona bananera atlántica.",,,cerdas_1984,87–88
1934_strike_marker_001,Paralysis of the Atlantic Region,La paralización de la zona atlántica,event,strike,1934_banana_strike,7,1934,1934,TRUE,-83.299,10.065,,,,,,,,"By the day following its formal declaration, the 1934 banana strike had spread across the Atlantic banana zone. According to Jaime Cerdas, plantations throughout the region had already joined the movement, paralyzing production, transportation, and UFCo operations across the corridor.","Para el día siguiente de su declaración formal, la huelga bananera de 1934 ya se había extendido por toda la zona bananera atlántica. Según Jaime Cerdas, plantaciones a lo largo de la región se habían incorporado al movimiento, paralizando la producción, el transporte y las operaciones de la UFCo en todo el corredor bananero.",,,cerdas_1984,88
1934_strike_marker_002,Paralysis of the Atlantic Region,La paralización de la zona atlántica,event,strike,1934_banana_strike,7,1934,1934,TRUE,-83.05,10,,,,,,,,"By the day following its formal declaration, the 1934 banana strike had spread across the Atlantic banana zone. According to Jaime Cerdas, plantations throughout the region had already joined the movement, paralyzing production, transportation, and UFCo operations across the corridor.","Para el día siguiente de su declaración formal, la huelga bananera de 1934 ya se había extendido por toda la zona bananera atlántica. Según Jaime Cerdas, plantaciones a lo largo de la región se habían incorporado al movimiento, paralizando la producción, el transporte y las operaciones de la UFCo en todo el corredor bananero.",,,cerdas_1984,88
1934_strike_marker_003,Paralysis of the Atlantic Region,La paralización de la zona atlántica,event,strike,1934_banana_strike,7,1934,1934,TRUE,-82.958,9.978,,,,,,,,"By the day following its formal declaration, the 1934 banana strike had spread across the Atlantic banana zone. According to Jaime Cerdas, plantations throughout the region had already joined the movement, paralyzing production, transportation, and UFCo operations across the corridor.","Para el día siguiente de su declaración formal, la huelga bananera de 1934 ya se había extendido por toda la zona bananera atlántica. Según Jaime Cerdas, plantaciones a lo largo de la región se habían incorporado al movimiento, paralizando la producción, el transporte y las operaciones de la UFCo en todo el corredor bananero.",,,cerdas_1984,88
1934_strike_marker_004,Paralysis of the Atlantic Region,La paralización de la zona atlántica,event,strike,1934_banana_strike,7,1934,1934,TRUE,-83.12,9.98,,,,,,,,"By the day following its formal declaration, the 1934 banana strike had spread across the Atlantic banana zone. According to Jaime Cerdas, plantations throughout the region had already joined the movement, paralyzing production, transportation, and UFCo operations across the corridor.","Para el día siguiente de su declaración formal, la huelga bananera de 1934 ya se había extendido por toda la zona bananera atlántica. Según Jaime Cerdas, plantaciones a lo largo de la región se habían incorporado al movimiento, paralizando la producción, el transporte y las operaciones de la UFCo en todo el corredor bananero.",,,cerdas_1984,88
1934_strike_marker_005,Paralysis of the Atlantic Region,La paralización de la zona atlántica,event,strike,1934_banana_strike,7,1934,1934,TRUE,-82.621,9.527,,,,,,,,"By the day following its formal declaration, the 1934 banana strike had spread across the Atlantic banana zone. According to Jaime Cerdas, plantations throughout the region had already joined the movement, paralyzing production, transportation, and UFCo operations across the corridor.","Para el día siguiente de su declaración formal, la huelga bananera de 1934 ya se había extendido por toda la zona bananera atlántica. Según Jaime Cerdas, plantaciones a lo largo de la región se habían incorporado al movimiento, paralizando la producción, el transporte y las operaciones de la UFCo en todo el corredor bananero.",,,cerdas_1984,88
